,ngram,NEG,NEUT,POS
0,가난,1,0,0
1,가난뱅이,1,0,0
2,가난살이,1,0,0
3,가난살이하다,1,0,0
4,가난설음,1,0,0
5,가난에,1,0,0
6,가난에,1,0,0
7,쪼들려서,1,0,0
8,가난하게,1,0,0
9,가난하고,1,0,0
10,가난하고,1,0,0
11,어렵다,1,0,0
12,가난하고,1,0,0
13,천한,1,0,0
14,가난하다,1,0,0
15,가난하여,1,0,0
16,가난한,1,0,0
17,가난한,1,0,0
18,데다가,1,0,0
19,가난한,1,0,0
20,사람을,1,0,0
21,가난히,1,0,0
22,가년스럽다,1,0,0
23,가녕스럽다,1,0,0
24,가누지,1,0,0
25,못하고,1,0,0
26,가누지,1,0,0
27,못하다,1,0,0
28,가누지,1,0,0
29,못할,1,0,0
30,가누지,1,0,0
31,못할,1,0,0
32,정도로,1,0,0
33,가누지,1,0,0
34,못함,1,0,0
35,가눌,1,0,0
36,수,1,0,0
37,없게,1,0,0
38,가눌,1,0,0
39,수,1,0,0
40,없을,1,0,0
41,가눌,1,0,0
42,수,1,0,0
43,없이,1,0,0
44,가당찮다,1,0,0
45,가당찮이,1,0,0
46,가두거나,1,0,0
47,해치거나,1,0,0
48,가망이,1,0,0
49,없게,1,0,0
50,가슴,1,0,0
51,아파하다,1,0,0
52,가슴,1,0,0
53,아파함,1,0,0
54,가슴,1,0,0
55,아프게,1,0,0
56,가슴,1,0,0
57,아프고,1,0,0
58,가슴,1,0,0
59,아프다,1,0,0
60,가슴속에,1,0,0
61,근심이나,1,0,0
62,가슴앓이,1,0,0
63,가슴앓이하다,1,0,0
64,가슴이,1,0,0
65,갑갑할,1,0,0
66,가슴이,1,0,0
67,괴롭거나,1,0,0
68,가슴이,1,0,0
69,그득한,1,0,0
70,가슴이,1,0,0
71,답답하고,1,0,0
72,가슴이,1,0,0
73,답답하다,1,0,0
74,가슴이,1,0,0
75,답답하며,1,0,0
76,가슴이,1,0,0
77,아프다,1,0,0
78,가슴이,1,0,0
79,아픈,1,0,0
80,가슴이,1,0,0
81,울렁거리는,1,0,0
82,가슴이,1,0,0
83,울렁거리다,1,0,0
84,가슴이,1,0,0
85,찢어질,1,0,0
86,가엾고,1,0,0
87,불쌍하다,1,0,0
88,가엾고,1,0,0
89,불쌍하여,1,0,0
90,가엾고,1,0,0
91,불쌍한,1,0,0
92,가엾고,1,0,0
93,불쌍함,1,0,0
94,가엾고,1,0,0
95,애처롭다,1,0,0
96,가음,1,0,0
97,아프고,1,0,0
98,가짜,1,0,0
99,가치,1,0,0
100,없는,1,0,0
101,가치가,1,0,0
102,없다,1,0,0
103,가치가,1,0,0
104,없을,1,0,0
105,가치가,1,0,0
106,없이,1,0,0
107,가치없는,1,0,0
108,가혹하게,1,0,0
109,가혹하게,1,0,0
110,착취하여,1,0,0
111,간,1,0,0
112,장애,1,0,0
113,간사한,1,0,0
114,짓을,1,0,0
115,감금하여,1,0,0
116,감정의,1,0,0
117,불화,1,0,0
118,강간죄,1,0,0
119,강개무량,1,0,0
120,강개무량하다,1,0,0
121,강제로,1,0,0
